img_path,label
cnn_data\benign\benign (337).png,0
cnn_data\benign\benign (307).png,0
cnn_data\benign\benign (390).png,0
cnn_data\malignant\malignant (166).png,1
cnn_data\benign\benign (310).png,0
cnn_data\normal\normal (65).png,2
cnn_data\malignant\malignant (169).png,1
cnn_data\benign\benign (338).png,0
cnn_data\benign\benign (148).png,0
cnn_data\normal\normal (55).png,2
cnn_data\malignant\malignant (75).png,1
cnn_data\benign\benign (187).png,0
cnn_data\malignant\malignant (156).png,1
cnn_data\benign\benign (362).png,0
cnn_data\normal\normal (23).png,2
cnn_data\normal\normal (68).png,2
cnn_data\benign\benign (339).png,0
cnn_data\benign\benign (50).png,0
cnn_data\benign\benign (207).png,0
cnn_data\benign\benign (97).png,0
cnn_data\benign\benign (175).png,0
cnn_data\benign\benign (108).png,0
cnn_data\malignant\malignant (106).png,1
cnn_data\normal\normal (107).png,2
cnn_data\malignant\malignant (127).png,1
cnn_data\benign\benign (396).png,0
cnn_data\malignant\malignant (35).png,1
cnn_data\benign\benign (125).png,0
cnn_data\malignant\malignant (124).png,1
cnn_data\malignant\malignant (207).png,1
cnn_data\benign\benign (158).png,0
cnn_data\benign\benign (31).png,0
cnn_data\malignant\malignant (79).png,1
cnn_data\benign\benign (398).png,0
cnn_data\benign\benign (172).png,0
cnn_data\malignant\malignant (139).png,1
cnn_data\malignant\malignant (71).png,1
cnn_data\malignant\malignant (140).png,1
cnn_data\malignant\malignant (80).png,1
cnn_data\benign\benign (276).png,0
cnn_data\malignant\malignant (185).png,1
cnn_data\normal\normal (6).png,2
cnn_data\benign\benign (168).png,0
cnn_data\benign\benign (332).png,0
cnn_data\normal\normal (132).png,2
cnn_data\benign\benign (371).png,0
cnn_data\benign\benign (164).png,0
cnn_data\normal\normal (61).png,2
cnn_data\malignant\malignant (110).png,1
cnn_data\normal\normal (100).png,2
cnn_data\malignant\malignant (83).png,1
cnn_data\benign\benign (156).png,0
cnn_data\benign\benign (328).png,0
cnn_data\normal\normal (118).png,2
cnn_data\benign\benign (37).png,0
cnn_data\benign\benign (288).png,0
cnn_data\normal\normal (81).png,2
cnn_data\malignant\malignant (175).png,1
cnn_data\normal\normal (28).png,2
cnn_data\benign\benign (347).png,0
cnn_data\benign\benign (279).png,0
cnn_data\benign\benign (105).png,0
cnn_data\benign\benign (361).png,0
cnn_data\benign\benign (190).png,0
cnn_data\benign\benign (48).png,0
cnn_data\benign\benign (289).png,0
cnn_data\malignant\malignant (37).png,1
cnn_data\benign\benign (100).png,0
cnn_data\benign\benign (45).png,0
cnn_data\benign\benign (61).png,0
cnn_data\benign\benign (375).png,0
cnn_data\malignant\malignant (173).png,1
cnn_data\benign\benign (81).png,0
cnn_data\normal\normal (5).png,2
cnn_data\normal\normal (12).png,2
cnn_data\malignant\malignant (107).png,1
cnn_data\benign\benign (291).png,0
cnn_data\benign\benign (87).png,0
cnn_data\benign\benign (324).png,0
cnn_data\benign\benign (415).png,0
cnn_data\benign\benign (170).png,0
cnn_data\benign\benign (232).png,0
cnn_data\benign\benign (4).png,0
cnn_data\benign\benign (250).png,0
cnn_data\normal\normal (22).png,2
cnn_data\malignant\malignant (91).png,1
cnn_data\benign\benign (219).png,0
cnn_data\benign\benign (419).png,0
cnn_data\benign\benign (149).png,0
cnn_data\benign\benign (74).png,0
cnn_data\malignant\malignant (51).png,1
cnn_data\benign\benign (43).png,0
cnn_data\malignant\malignant (194).png,1
cnn_data\benign\benign (42).png,0
cnn_data\malignant\malignant (161).png,1
cnn_data\benign\benign (423).png,0
cnn_data\benign\benign (153).png,0
cnn_data\malignant\malignant (58).png,1
cnn_data\malignant\malignant (69).png,1
cnn_data\benign\benign (256).png,0
cnn_data\benign\benign (86).png,0
cnn_data\benign\benign (88).png,0
cnn_data\benign\benign (416).png,0
cnn_data\normal\normal (59).png,2
cnn_data\benign\benign (262).png,0
cnn_data\benign\benign (364).png,0
cnn_data\benign\benign (180).png,0
cnn_data\benign\benign (298).png,0
cnn_data\normal\normal (42).png,2
cnn_data\benign\benign (9).png,0
cnn_data\benign\benign (241).png,0
cnn_data\benign\benign (161).png,0
cnn_data\benign\benign (62).png,0
cnn_data\benign\benign (217).png,0
cnn_data\benign\benign (139).png,0
cnn_data\benign\benign (162).png,0
cnn_data\benign\benign (287).png,0
cnn_data\benign\benign (403).png,0
cnn_data\malignant\malignant (101).png,1
cnn_data\malignant\malignant (48).png,1
cnn_data\benign\benign (220).png,0
cnn_data\benign\benign (360).png,0
cnn_data\benign\benign (248).png,0
cnn_data\benign\benign (247).png,0
cnn_data\benign\benign (124).png,0
cnn_data\normal\normal (35).png,2
cnn_data\benign\benign (273).png,0
cnn_data\benign\benign (296).png,0
cnn_data\malignant\malignant (78).png,1
cnn_data\malignant\malignant (172).png,1
cnn_data\benign\benign (221).png,0
cnn_data\benign\benign (64).png,0
cnn_data\malignant\malignant (84).png,1
cnn_data\benign\benign (225).png,0
cnn_data\normal\normal (43).png,2
cnn_data\benign\benign (104).png,0
cnn_data\malignant\malignant (47).png,1
cnn_data\benign\benign (391).png,0
cnn_data\benign\benign (165).png,0
cnn_data\normal\normal (131).png,2
cnn_data\benign\benign (91).png,0
cnn_data\benign\benign (23).png,0
cnn_data\benign\benign (378).png,0
cnn_data\benign\benign (393).png,0
cnn_data\malignant\malignant (150).png,1
cnn_data\benign\benign (218).png,0
cnn_data\benign\benign (420).png,0
cnn_data\malignant\malignant (19).png,1
cnn_data\normal\normal (54).png,2
cnn_data\benign\benign (94).png,0
cnn_data\benign\benign (136).png,0
cnn_data\malignant\malignant (131).png,1
cnn_data\benign\benign (197).png,0
cnn_data\benign\benign (395).png,0
cnn_data\benign\benign (15).png,0
cnn_data\benign\benign (314).png,0
cnn_data\benign\benign (369).png,0
cnn_data\malignant\malignant (59).png,1
cnn_data\benign\benign (303).png,0
cnn_data\benign\benign (290).png,0
cnn_data\malignant\malignant (39).png,1
cnn_data\benign\benign (425).png,0
cnn_data\benign\benign (120).png,0
cnn_data\malignant\malignant (89).png,1
cnn_data\malignant\malignant (77).png,1
cnn_data\benign\benign (40).png,0
cnn_data\benign\benign (426).png,0
cnn_data\malignant\malignant (8).png,1
cnn_data\benign\benign (199).png,0
cnn_data\benign\benign (173).png,0
cnn_data\benign\benign (145).png,0
cnn_data\malignant\malignant (121).png,1
cnn_data\malignant\malignant (151).png,1
cnn_data\normal\normal (4).png,2
cnn_data\malignant\malignant (82).png,1
cnn_data\benign\benign (278).png,0
cnn_data\normal\normal (109).png,2
cnn_data\normal\normal (30).png,2
cnn_data\benign\benign (382).png,0
cnn_data\malignant\malignant (136).png,1
cnn_data\benign\benign (410).png,0
cnn_data\benign\benign (224).png,0
cnn_data\benign\benign (387).png,0
cnn_data\malignant\malignant (105).png,1
cnn_data\benign\benign (115).png,0
cnn_data\malignant\malignant (30).png,1
cnn_data\malignant\malignant (54).png,1
cnn_data\benign\benign (174).png,0
cnn_data\benign\benign (154).png,0
cnn_data\benign\benign (424).png,0
cnn_data\benign\benign (92).png,0
cnn_data\benign\benign (263).png,0
cnn_data\malignant\malignant (135).png,1
cnn_data\benign\benign (30).png,0
cnn_data\malignant\malignant (93).png,1
cnn_data\malignant\malignant (109).png,1
cnn_data\benign\benign (95).png,0
cnn_data\malignant\malignant (193).png,1
cnn_data\benign\benign (89).png,0
cnn_data\malignant\malignant (62).png,1
cnn_data\benign\benign (258).png,0
cnn_data\malignant\malignant (186).png,1
cnn_data\benign\benign (428).png,0
cnn_data\benign\benign (246).png,0
cnn_data\benign\benign (322).png,0
cnn_data\malignant\malignant (176).png,1
cnn_data\normal\normal (2).png,2
cnn_data\benign\benign (166).png,0
cnn_data\malignant\malignant (6).png,1
cnn_data\normal\normal (37).png,2
cnn_data\benign\benign (193).png,0
cnn_data\benign\benign (201).png,0
cnn_data\normal\normal (79).png,2
cnn_data\benign\benign (182).png,0
cnn_data\benign\benign (6).png,0
cnn_data\benign\benign (18).png,0
cnn_data\benign\benign (77).png,0
cnn_data\normal\normal (8).png,2
cnn_data\normal\normal (49).png,2
cnn_data\malignant\malignant (126).png,1
cnn_data\malignant\malignant (183).png,1
cnn_data\benign\benign (109).png,0
cnn_data\benign\benign (401).png,0
cnn_data\benign\benign (138).png,0
cnn_data\benign\benign (137).png,0
cnn_data\benign\benign (25).png,0
cnn_data\normal\normal (133).png,2
cnn_data\normal\normal (51).png,2
cnn_data\benign\benign (60).png,0
cnn_data\benign\benign (26).png,0
cnn_data\malignant\malignant (171).png,1
cnn_data\malignant\malignant (18).png,1
cnn_data\benign\benign (259).png,0
cnn_data\malignant\malignant (90).png,1
cnn_data\malignant\malignant (199).png,1
cnn_data\benign\benign (330).png,0
cnn_data\benign\benign (407).png,0
cnn_data\malignant\malignant (113).png,1
cnn_data\benign\benign (112).png,0
cnn_data\normal\normal (17).png,2
cnn_data\benign\benign (33).png,0
cnn_data\normal\normal (90).png,2
cnn_data\malignant\malignant (14).png,1
cnn_data\malignant\malignant (116).png,1
cnn_data\malignant\malignant (170).png,1
cnn_data\benign\benign (84).png,0
cnn_data\benign\benign (49).png,0
cnn_data\benign\benign (394).png,0
cnn_data\malignant\malignant (100).png,1
cnn_data\benign\benign (107).png,0
cnn_data\benign\benign (323).png,0
cnn_data\benign\benign (119).png,0
cnn_data\benign\benign (299).png,0
cnn_data\malignant\malignant (187).png,1
cnn_data\normal\normal (121).png,2
cnn_data\normal\normal (85).png,2
cnn_data\normal\normal (41).png,2
cnn_data\normal\normal (104).png,2
cnn_data\benign\benign (282).png,0
cnn_data\benign\benign (312).png,0
cnn_data\benign\benign (183).png,0
cnn_data\benign\benign (5).png,0
cnn_data\benign\benign (409).png,0
cnn_data\malignant\malignant (143).png,1
cnn_data\benign\benign (355).png,0
cnn_data\benign\benign (265).png,0
cnn_data\malignant\malignant (86).png,1
cnn_data\normal\normal (120).png,2
cnn_data\benign\benign (237).png,0
cnn_data\benign\benign (167).png,0
cnn_data\normal\normal (98).png,2
cnn_data\benign\benign (349).png,0
cnn_data\benign\benign (160).png,0
cnn_data\malignant\malignant (147).png,1
cnn_data\benign\benign (269).png,0
cnn_data\benign\benign (343).png,0
cnn_data\benign\benign (311).png,0
cnn_data\benign\benign (179).png,0
cnn_data\normal\normal (84).png,2
cnn_data\benign\benign (204).png,0
cnn_data\benign\benign (211).png,0
cnn_data\normal\normal (106).png,2
cnn_data\benign\benign (36).png,0
cnn_data\benign\benign (313).png,0
cnn_data\benign\benign (1).png,0
cnn_data\normal\normal (91).png,2
cnn_data\malignant\malignant (155).png,1
cnn_data\normal\normal (130).png,2
cnn_data\normal\normal (126).png,2
cnn_data\benign\benign (35).png,0
cnn_data\malignant\malignant (66).png,1
cnn_data\benign\benign (203).png,0
cnn_data\benign\benign (304).png,0
cnn_data\normal\normal (66).png,2
cnn_data\malignant\malignant (27).png,1
cnn_data\malignant\malignant (103).png,1
cnn_data\benign\benign (346).png,0
cnn_data\benign\benign (386).png,0
cnn_data\malignant\malignant (190).png,1
cnn_data\benign\benign (229).png,0
cnn_data\malignant\malignant (15).png,1
cnn_data\malignant\malignant (142).png,1
cnn_data\normal\normal (33).png,2
cnn_data\malignant\malignant (31).png,1
cnn_data\benign\benign (431).png,0
cnn_data\benign\benign (340).png,0
cnn_data\malignant\malignant (204).png,1
cnn_data\benign\benign (376).png,0
cnn_data\benign\benign (379).png,0
cnn_data\benign\benign (96).png,0
cnn_data\benign\benign (140).png,0
cnn_data\benign\benign (413).png,0
cnn_data\benign\benign (433).png,0
cnn_data\malignant\malignant (49).png,1
cnn_data\benign\benign (334).png,0
cnn_data\benign\benign (275).png,0
cnn_data\normal\normal (99).png,2
cnn_data\normal\normal (105).png,2
cnn_data\benign\benign (196).png,0
cnn_data\benign\benign (152).png,0
cnn_data\malignant\malignant (44).png,1
cnn_data\malignant\malignant (189).png,1
cnn_data\benign\benign (19).png,0
cnn_data\normal\normal (88).png,2
cnn_data\normal\normal (64).png,2
cnn_data\malignant\malignant (3).png,1
cnn_data\benign\benign (99).png,0
cnn_data\benign\benign (260).png,0
cnn_data\benign\benign (373).png,0
cnn_data\benign\benign (76).png,0
cnn_data\malignant\malignant (117).png,1
cnn_data\normal\normal (73).png,2
cnn_data\benign\benign (233).png,0
cnn_data\benign\benign (210).png,0
cnn_data\malignant\malignant (81).png,1
cnn_data\normal\normal (128).png,2
cnn_data\benign\benign (266).png,0
cnn_data\malignant\malignant (181).png,1
cnn_data\malignant\malignant (184).png,1
cnn_data\malignant\malignant (11).png,1
cnn_data\normal\normal (9).png,2
cnn_data\malignant\malignant (111).png,1
cnn_data\benign\benign (389).png,0
cnn_data\benign\benign (417).png,0
cnn_data\normal\normal (45).png,2
cnn_data\benign\benign (227).png,0
cnn_data\benign\benign (432).png,0
cnn_data\benign\benign (226).png,0
cnn_data\benign\benign (65).png,0
cnn_data\malignant\malignant (162).png,1
cnn_data\benign\benign (388).png,0
cnn_data\benign\benign (116).png,0
cnn_data\benign\benign (254).png,0
cnn_data\malignant\malignant (9).png,1
cnn_data\benign\benign (380).png,0
cnn_data\benign\benign (57).png,0
cnn_data\normal\normal (50).png,2
cnn_data\benign\benign (11).png,0
cnn_data\benign\benign (72).png,0
cnn_data\benign\benign (73).png,0
cnn_data\benign\benign (374).png,0
cnn_data\benign\benign (418).png,0
cnn_data\benign\benign (121).png,0
cnn_data\malignant\malignant (42).png,1
cnn_data\benign\benign (251).png,0
cnn_data\benign\benign (133).png,0
cnn_data\benign\benign (257).png,0
cnn_data\benign\benign (32).png,0
cnn_data\benign\benign (368).png,0
cnn_data\normal\normal (101).png,2
cnn_data\benign\benign (80).png,0
cnn_data\malignant\malignant (188).png,1
cnn_data\benign\benign (344).png,0
cnn_data\malignant\malignant (55).png,1
cnn_data\benign\benign (238).png,0
cnn_data\benign\benign (212).png,0
cnn_data\malignant\malignant (208).png,1
cnn_data\benign\benign (406).png,0
cnn_data\benign\benign (93).png,0
cnn_data\benign\benign (358).png,0
cnn_data\benign\benign (200).png,0
cnn_data\malignant\malignant (94).png,1
cnn_data\benign\benign (255).png,0
cnn_data\benign\benign (422).png,0
cnn_data\malignant\malignant (29).png,1
cnn_data\benign\benign (150).png,0
cnn_data\malignant\malignant (191).png,1
cnn_data\benign\benign (3).png,0
cnn_data\benign\benign (351).png,0
cnn_data\benign\benign (114).png,0
cnn_data\benign\benign (213).png,0
cnn_data\benign\benign (39).png,0
cnn_data\benign\benign (329).png,0
cnn_data\malignant\malignant (179).png,1
cnn_data\malignant\malignant (43).png,1
cnn_data\normal\normal (71).png,2
cnn_data\benign\benign (270).png,0
cnn_data\benign\benign (202).png,0
cnn_data\normal\normal (19).png,2
cnn_data\malignant\malignant (153).png,1
cnn_data\benign\benign (184).png,0
cnn_data\benign\benign (261).png,0
cnn_data\benign\benign (370).png,0
cnn_data\malignant\malignant (28).png,1
cnn_data\malignant\malignant (85).png,1
cnn_data\malignant\malignant (2).png,1
cnn_data\malignant\malignant (197).png,1
cnn_data\normal\normal (18).png,2
cnn_data\malignant\malignant (182).png,1
cnn_data\benign\benign (103).png,0
cnn_data\normal\normal (86).png,2
cnn_data\benign\benign (14).png,0
cnn_data\normal\normal (32).png,2
cnn_data\benign\benign (240).png,0
cnn_data\normal\normal (125).png,2
cnn_data\benign\benign (253).png,0
cnn_data\benign\benign (113).png,0
cnn_data\benign\benign (142).png,0
cnn_data\normal\normal (77).png,2
cnn_data\normal\normal (40).png,2
cnn_data\benign\benign (101).png,0
cnn_data\normal\normal (47).png,2
cnn_data\malignant\malignant (201).png,1
cnn_data\benign\benign (384).png,0
cnn_data\malignant\malignant (20).png,1
cnn_data\malignant\malignant (138).png,1
cnn_data\malignant\malignant (108).png,1
cnn_data\normal\normal (44).png,2
cnn_data\benign\benign (354).png,0
cnn_data\benign\benign (186).png,0
cnn_data\benign\benign (356).png,0
cnn_data\malignant\malignant (177).png,1
cnn_data\benign\benign (301).png,0
cnn_data\benign\benign (122).png,0
cnn_data\malignant\malignant (70).png,1
cnn_data\benign\benign (336).png,0
cnn_data\malignant\malignant (1).png,1
cnn_data\benign\benign (144).png,0
cnn_data\benign\benign (427).png,0
cnn_data\benign\benign (305).png,0
cnn_data\benign\benign (132).png,0
cnn_data\normal\normal (72).png,2
cnn_data\benign\benign (436).png,0
cnn_data\malignant\malignant (128).png,1
cnn_data\normal\normal (74).png,2
cnn_data\normal\normal (114).png,2
cnn_data\malignant\malignant (38).png,1
cnn_data\benign\benign (274).png,0
cnn_data\normal\normal (116).png,2
cnn_data\normal\normal (124).png,2
cnn_data\malignant\malignant (159).png,1
cnn_data\normal\normal (76).png,2
cnn_data\normal\normal (102).png,2
cnn_data\normal\normal (75).png,2
cnn_data\benign\benign (245).png,0
cnn_data\normal\normal (70).png,2
cnn_data\benign\benign (236).png,0
cnn_data\malignant\malignant (196).png,1
cnn_data\malignant\malignant (209).png,1
cnn_data\malignant\malignant (56).png,1
cnn_data\benign\benign (2).png,0
cnn_data\benign\benign (302).png,0
cnn_data\normal\normal (38).png,2
cnn_data\benign\benign (192).png,0
cnn_data\benign\benign (85).png,0
cnn_data\benign\benign (83).png,0
cnn_data\benign\benign (206).png,0
cnn_data\benign\benign (147).png,0
cnn_data\benign\benign (235).png,0
cnn_data\benign\benign (69).png,0
cnn_data\normal\normal (58).png,2
cnn_data\benign\benign (286).png,0
cnn_data\normal\normal (11).png,2
cnn_data\malignant\malignant (61).png,1
cnn_data\benign\benign (106).png,0
cnn_data\malignant\malignant (88).png,1
cnn_data\benign\benign (131).png,0
cnn_data\malignant\malignant (112).png,1
cnn_data\benign\benign (327).png,0
cnn_data\benign\benign (372).png,0
cnn_data\malignant\malignant (50).png,1
cnn_data\normal\normal (60).png,2
cnn_data\malignant\malignant (98).png,1
cnn_data\benign\benign (335).png,0
cnn_data\benign\benign (367).png,0
cnn_data\benign\benign (79).png,0
cnn_data\benign\benign (234).png,0
cnn_data\malignant\malignant (76).png,1
cnn_data\normal\normal (21).png,2
cnn_data\malignant\malignant (200).png,1
cnn_data\malignant\malignant (145).png,1
cnn_data\benign\benign (231).png,0
cnn_data\benign\benign (230).png,0
cnn_data\malignant\malignant (34).png,1
cnn_data\normal\normal (48).png,2
cnn_data\malignant\malignant (46).png,1
cnn_data\benign\benign (412).png,0
cnn_data\malignant\malignant (122).png,1
cnn_data\benign\benign (392).png,0
cnn_data\benign\benign (267).png,0
cnn_data\benign\benign (21).png,0
cnn_data\normal\normal (115).png,2
cnn_data\benign\benign (228).png,0
cnn_data\normal\normal (67).png,2
cnn_data\benign\benign (277).png,0
cnn_data\benign\benign (350).png,0
cnn_data\benign\benign (363).png,0
cnn_data\benign\benign (66).png,0
cnn_data\benign\benign (209).png,0
cnn_data\benign\benign (264).png,0
cnn_data\benign\benign (281).png,0
cnn_data\malignant\malignant (10).png,1
cnn_data\benign\benign (320).png,0
cnn_data\benign\benign (8).png,0
cnn_data\normal\normal (20).png,2
cnn_data\benign\benign (215).png,0
cnn_data\benign\benign (68).png,0
cnn_data\malignant\malignant (72).png,1
cnn_data\malignant\malignant (65).png,1
cnn_data\normal\normal (34).png,2
cnn_data\benign\benign (297).png,0
cnn_data\normal\normal (36).png,2
cnn_data\malignant\malignant (53).png,1
cnn_data\normal\normal (39).png,2
cnn_data\malignant\malignant (60).png,1
cnn_data\benign\benign (53).png,0
cnn_data\normal\normal (78).png,2
cnn_data\malignant\malignant (164).png,1
cnn_data\benign\benign (34).png,0
cnn_data\malignant\malignant (96).png,1
cnn_data\malignant\malignant (102).png,1
cnn_data\malignant\malignant (152).png,1
cnn_data\benign\benign (20).png,0
cnn_data\benign\benign (308).png,0
cnn_data\normal\normal (129).png,2
cnn_data\benign\benign (435).png,0
cnn_data\benign\benign (309).png,0
cnn_data\malignant\malignant (73).png,1
cnn_data\benign\benign (385).png,0
cnn_data\benign\benign (75).png,0
cnn_data\normal\normal (25).png,2
cnn_data\benign\benign (421).png,0
cnn_data\benign\benign (331).png,0
cnn_data\benign\benign (353).png,0
cnn_data\benign\benign (44).png,0
cnn_data\benign\benign (51).png,0
cnn_data\benign\benign (300).png,0
cnn_data\normal\normal (63).png,2
cnn_data\malignant\malignant (92).png,1
cnn_data\malignant\malignant (130).png,1
cnn_data\benign\benign (411).png,0
cnn_data\malignant\malignant (160).png,1
cnn_data\normal\normal (89).png,2
cnn_data\normal\normal (46).png,2
cnn_data\normal\normal (3).png,2
cnn_data\malignant\malignant (74).png,1
cnn_data\normal\normal (117).png,2
cnn_data\normal\normal (110).png,2
cnn_data\malignant\malignant (206).png,1
cnn_data\malignant\malignant (36).png,1
cnn_data\benign\benign (176).png,0
cnn_data\benign\benign (317).png,0
cnn_data\benign\benign (242).png,0
cnn_data\malignant\malignant (178).png,1
cnn_data\benign\benign (130).png,0
cnn_data\malignant\malignant (192).png,1
cnn_data\benign\benign (252).png,0
cnn_data\normal\normal (119).png,2
cnn_data\normal\normal (82).png,2
cnn_data\normal\normal (57).png,2
cnn_data\benign\benign (185).png,0
cnn_data\malignant\malignant (23).png,1
cnn_data\benign\benign (315).png,0
cnn_data\malignant\malignant (33).png,1
cnn_data\malignant\malignant (12).png,1
cnn_data\malignant\malignant (203).png,1
cnn_data\normal\normal (62).png,2
cnn_data\benign\benign (285).png,0
cnn_data\benign\benign (59).png,0
cnn_data\benign\benign (63).png,0
cnn_data\normal\normal (112).png,2
cnn_data\benign\benign (295).png,0
cnn_data\benign\benign (102).png,0
cnn_data\malignant\malignant (95).png,1
cnn_data\normal\normal (24).png,2
cnn_data\malignant\malignant (68).png,1
cnn_data\malignant\malignant (198).png,1
cnn_data\benign\benign (188).png,0
cnn_data\malignant\malignant (32).png,1
cnn_data\benign\benign (71).png,0
cnn_data\malignant\malignant (158).png,1
cnn_data\benign\benign (141).png,0
cnn_data\benign\benign (128).png,0
cnn_data\benign\benign (28).png,0
cnn_data\benign\benign (22).png,0
cnn_data\benign\benign (123).png,0
cnn_data\normal\normal (16).png,2
cnn_data\benign\benign (306).png,0
cnn_data\malignant\malignant (146).png,1
cnn_data\benign\benign (46).png,0
cnn_data\benign\benign (359).png,0
cnn_data\benign\benign (82).png,0
cnn_data\normal\normal (123).png,2
cnn_data\benign\benign (58).png,0
cnn_data\malignant\malignant (5).png,1
cnn_data\malignant\malignant (154).png,1
cnn_data\benign\benign (223).png,0
cnn_data\benign\benign (155).png,0
cnn_data\malignant\malignant (13).png,1
cnn_data\normal\normal (1).png,2
cnn_data\benign\benign (214).png,0
cnn_data\normal\normal (80).png,2
cnn_data\malignant\malignant (174).png,1
cnn_data\benign\benign (157).png,0
cnn_data\benign\benign (111).png,0
cnn_data\benign\benign (24).png,0
cnn_data\benign\benign (135).png,0
cnn_data\malignant\malignant (149).png,1
cnn_data\benign\benign (47).png,0
cnn_data\benign\benign (268).png,0
cnn_data\benign\benign (294).png,0
cnn_data\benign\benign (146).png,0
cnn_data\benign\benign (402).png,0
cnn_data\benign\benign (365).png,0
cnn_data\benign\benign (325).png,0
cnn_data\malignant\malignant (120).png,1
cnn_data\malignant\malignant (115).png,1
cnn_data\normal\normal (97).png,2
cnn_data\benign\benign (341).png,0
cnn_data\benign\benign (280).png,0
cnn_data\benign\benign (244).png,0
cnn_data\malignant\malignant (205).png,1
cnn_data\benign\benign (67).png,0
cnn_data\normal\normal (29).png,2
cnn_data\malignant\malignant (134).png,1
cnn_data\benign\benign (194).png,0
cnn_data\malignant\malignant (25).png,1
cnn_data\benign\benign (56).png,0
cnn_data\benign\benign (10).png,0
cnn_data\normal\normal (52).png,2
cnn_data\malignant\malignant (210).png,1
cnn_data\benign\benign (171).png,0
cnn_data\benign\benign (284).png,0
cnn_data\benign\benign (13).png,0
cnn_data\malignant\malignant (163).png,1
cnn_data\benign\benign (90).png,0
cnn_data\malignant\malignant (114).png,1
cnn_data\benign\benign (429).png,0
cnn_data\benign\benign (181).png,0
cnn_data\benign\benign (404).png,0
cnn_data\malignant\malignant (24).png,1
cnn_data\benign\benign (41).png,0
cnn_data\benign\benign (316).png,0
cnn_data\benign\benign (110).png,0
cnn_data\benign\benign (383).png,0
cnn_data\malignant\malignant (57).png,1
cnn_data\benign\benign (54).png,0
cnn_data\benign\benign (345).png,0
cnn_data\benign\benign (249).png,0
cnn_data\normal\normal (93).png,2
cnn_data\malignant\malignant (99).png,1
cnn_data\malignant\malignant (141).png,1
cnn_data\normal\normal (83).png,2
cnn_data\malignant\malignant (16).png,1
cnn_data\benign\benign (318).png,0
cnn_data\malignant\malignant (26).png,1
cnn_data\malignant\malignant (22).png,1
cnn_data\normal\normal (14).png,2
cnn_data\benign\benign (27).png,0
cnn_data\normal\normal (26).png,2
cnn_data\malignant\malignant (133).png,1
cnn_data\normal\normal (13).png,2
cnn_data\malignant\malignant (165).png,1
cnn_data\benign\benign (151).png,0
cnn_data\malignant\malignant (132).png,1
cnn_data\malignant\malignant (21).png,1
cnn_data\normal\normal (7).png,2
cnn_data\benign\benign (326).png,0
cnn_data\benign\benign (118).png,0
cnn_data\benign\benign (381).png,0
cnn_data\malignant\malignant (119).png,1
cnn_data\benign\benign (243).png,0
